id,ensamble_id,titulo,propuesto_por,estado,creado
d_seed01,sabado-10,Someday My Prince Will Come,lista inicial,abierta,2026-07-22
d_seed02,sabado-10,Como Fue,lista inicial,abierta,2026-07-22
d_seed03,sabado-10,Take Five,lista inicial,abierta,2026-07-22
d_seed04,sabado-10,My Funny Valentine,lista inicial,abierta,2026-07-22
d_seed05,sabado-10,It Don't Mean a Thing,lista inicial,abierta,2026-07-22
d_seed06,sabado-10,Stardust,lista inicial,abierta,2026-07-22
d_seed07,sabado-10,Tenderly,lista inicial,abierta,2026-07-22
d_seed08,sabado-10,There Will Never Be Another You,lista inicial,abierta,2026-07-22
d_seed09,sabado-10,Wave,lista inicial,abierta,2026-07-22
d_seed10,sabado-10,Hit the Road Jack,lista inicial,abierta,2026-07-22
d_seed11,sabado-10,Fever,lista inicial,abierta,2026-07-22
d_seed12,sabado-10,Pink Panther,lista inicial,abierta,2026-07-22
d_seed13,sabado-10,I Wanna Be Like You,lista inicial,abierta,2026-07-22
d_seed14,sabado-10,Chain of Fools,lista inicial,abierta,2026-07-22
d_seed15,sabado-10,Fly Me to the Moon,lista inicial,abierta,2026-07-22
d_seed16,sabado-10,L-O-V-E,lista inicial,abierta,2026-07-22
d_seed17,sabado-10,La Vie en Rose,lista inicial,abierta,2026-07-22
d_seed18,sabado-10,Take the A Train,lista inicial,abierta,2026-07-22
d_seed19,sabado-10,Sing Sing Sing,lista inicial,abierta,2026-07-22
d_seed20,sabado-10,Putting on the Ritz,lista inicial,abierta,2026-07-22
